activity_column,class,rank,sensor,importance,n_samples
Locomotion,_overall,1,Accelerometer_HIP_accY,0.04402258517285631,
Locomotion,_overall,2,Accelerometer_LWR_accY,0.03985639143909546,
Locomotion,_overall,3,InertialMeasurementUnit_BACK_accX,0.03518607849286713,
Locomotion,_overall,4,Accelerometer_RKN^_accY,0.0351463624222219,
Locomotion,_overall,5,Accelerometer_LUA^_accY,0.03417519569550832,
Locomotion,_overall,6,Accelerometer_RKN^_accZ,0.031978839880555686,
Locomotion,_overall,7,InertialMeasurementUnit_LUA_magneticX,0.030046233921146217,
Locomotion,_overall,8,InertialMeasurementUnit_LLA_accX,0.024104607133865315,
Locomotion,_overall,9,InertialMeasurementUnit_BACK_magneticX,0.02271759146225342,
Locomotion,_overall,10,InertialMeasurementUnit_RUA_accX,0.0220128192391985,
Locomotion,Lie,1,Accelerometer_LUA^_accY,0.09284474837841758,25395.0
Locomotion,Lie,2,Accelerometer_HIP_accY,0.08253928454305105,25395.0
Locomotion,Lie,3,InertialMeasurementUnit_LUA_accX,0.06956300816776,25395.0
Locomotion,Lie,4,InertialMeasurementUnit_BACK_accX,0.06002625278531624,25395.0
Locomotion,Lie,5,InertialMeasurementUnit_L-SHOE_EuY,0.05593516493587992,25395.0
Locomotion,Lie,6,InertialMeasurementUnit_RUA_accX,0.04095008121590267,25395.0
Locomotion,Lie,7,InertialMeasurementUnit_LUA_magneticX,0.04085878304026008,25395.0
Locomotion,Lie,8,InertialMeasurementUnit_R-SHOE_Body_Ay,0.03424274462559144,25395.0
Locomotion,Lie,9,LOCATION_TAG1_X,0.032480570579421636,25395.0
Locomotion,Lie,10,Accelerometer_RKN^_accY,0.030211243052563477,25395.0
Locomotion,Sit,1,Accelerometer_RKN^_accZ,0.09365670256036962,118068.0
Locomotion,Sit,2,InertialMeasurementUnit_LLA_accX,0.0789112154447012,118068.0
Locomotion,Sit,3,Accelerometer_LWR_accY,0.0666322317459214,118068.0
Locomotion,Sit,4,InertialMeasurementUnit_BACK_magneticZ,0.05782194457634803,118068.0
Locomotion,Sit,5,Accelerometer_RKN^_accY,0.05229985734741392,118068.0
Locomotion,Sit,6,InertialMeasurementUnit_RUA_magneticY,0.05039231015140134,118068.0
Locomotion,Sit,7,InertialMeasurementUnit_LLA_magneticX,0.04455286607775202,118068.0
Locomotion,Sit,8,Accelerometer_LUA__accY,0.03630972886133923,118068.0
Locomotion,Sit,9,InertialMeasurementUnit_RLA_accX,0.032934044529078464,118068.0
Locomotion,Sit,10,InertialMeasurementUnit_RLA_magneticX,0.03287301136361596,118068.0
Locomotion,Stand,1,Accelerometer_RKN^_accY,0.03411346124913511,222737.0
Locomotion,Stand,2,InertialMeasurementUnit_LLA_accX,0.034008645468674985,222737.0
Locomotion,Stand,3,Accelerometer_RKN^_accZ,0.03325419226116894,222737.0
