MILLISEC,subject,recording,label
1733,S1,S1-ADL1,Stand
2100,S1,S1-ADL1,Stand
3900,S1,S1-ADL1,Stand
5267,S1,S1-ADL1,Stand
8533,S1,S1-ADL1,Stand
12567,S1,S1-ADL1,Stand
13033,S1,S1-ADL1,Stand
13800,S1,S1-ADL1,Stand
18500,S1,S1-ADL1,Stand
19566,S1,S1-ADL1,Stand
21100,S1,S1-ADL1,Stand
22233,S1,S1-ADL1,Stand
22766,S1,S1-ADL1,Stand
25100,S1,S1-ADL1,Stand
28766,S1,S1-ADL1,Stand
29133,S1,S1-ADL1,Stand
29433,S1,S1-ADL1,Stand
30666,S1,S1-ADL1,Stand
33400,S1,S1-ADL1,Stand
35533,S1,S1-ADL1,Stand
37100,S1,S1-ADL1,Stand
38133,S1,S1-ADL1,Stand
39400,S1,S1-ADL1,Stand
39433,S1,S1-ADL1,Stand
43500,S1,S1-ADL1,Stand
43933,S1,S1-ADL1,Stand
45266,S1,S1-ADL1,Stand
48700,S1,S1-ADL1,Stand
51699,S1,S1-ADL1,Stand
56733,S1,S1-ADL1,Stand
56799,S1,S1-ADL1,Stand
57033,S1,S1-ADL1,Stand
57366,S1,S1-ADL1,Stand
59666,S1,S1-ADL1,Stand
60633,S1,S1-ADL1,Stand
68233,S1,S1-ADL1,Stand
73599,S1,S1-ADL1,Stand
76233,S1,S1-ADL1,Stand
76733,S1,S1-ADL1,Stand
81199,S1,S1-ADL1,Stand
81833,S1,S1-ADL1,Stand
81999,S1,S1-ADL1,Stand
89466,S1,S1-ADL1,Stand
90432,S1,S1-ADL1,Stand
91632,S1,S1-ADL1,Stand
94599,S1,S1-ADL1,Stand
94799,S1,S1-ADL1,Stand
97132,S1,S1-ADL1,Stand
101599,S1,S1-ADL1,Stand
102132,S1,S1-ADL1,Stand
103299,S1,S1-ADL1,Stand
105466,S1,S1-ADL1,Stand
107199,S1,S1-ADL1,Stand
108632,S1,S1-ADL1,Stand
109032,S1,S1-ADL1,Stand
109166,S1,S1-ADL1,Stand
111899,S1,S1-ADL1,Stand
115232,S1,S1-ADL1,Stand
117899,S1,S1-ADL1,Stand
117999,S1,S1-ADL1,Stand
128099,S1,S1-ADL1,Stand
129732,S1,S1-ADL1,Stand
131099,S1,S1-ADL1,Stand
131365,S1,S1-ADL1,Stand
134932,S1,S1-ADL1,Stand
136865,S1,S1-ADL1,Stand
138565,S1,S1-ADL1,Stand
139165,S1,S1-ADL1,Stand
139899,S1,S1-ADL1,Stand
140265,S1,S1-ADL1,Stand
140999,S1,S1-ADL1,Stand
141665,S1,S1-ADL1,Stand
148532,S1,S1-ADL1,Stand
150765,S1,S1-ADL1,Stand
150932,S1,S1-ADL1,Stand
152598,S1,S1-ADL1,Stand
152632,S1,S1-ADL1,Stand
155732,S1,S1-ADL1,Stand
157032,S1,S1-ADL1,Stand
158398,S1,S1-ADL1,Stand
158632,S1,S1-ADL1,Stand
160532,S1,S1-ADL1,Stand
161432,S1,S1-ADL1,Stand
161965,S1,S1-ADL1,Stand
162998,S1,S1-ADL1,Stand
163032,S1,S1-ADL1,Stand
163698,S1,S1-ADL1,Stand
167832,S1,S1-ADL1,Stand
169265,S1,S1-ADL1,Stand
176398,S1,S1-ADL1,Stand
177465,S1,S1-ADL1,Stand
182032,S1,S1-ADL1,Stand
183965,S1,S1-ADL1,Stand
184265,S1,S1-ADL1,Stand
189298,S1,S1-ADL1,Stand
192165,S1,S1-ADL1,Stand
192665,S1,S1-ADL1,Stand
193265,S1,S1-ADL1,Stand
194598,S1,S1-ADL1,Stand
195898,S1,S1-ADL1,Stand
196831,S1,S1-ADL1,Stand
197231,S1,S1-ADL1,Stand
198631,S1,S1-ADL1,Stand
205965,S1,S1-ADL1,Stand
210265,S1,S1-ADL1,Stand
219364,S1,S1-ADL1,Stand
220098,S1,S1-ADL1,Stand
221831,S1,S1-ADL1,Stand
224831,S1,S1-ADL1,Stand
227964,S1,S1-ADL1,Stand
228231,S1,S1-ADL1,Stand
233964,S1,S1-ADL1,Stand
238131,S1,S1-ADL1,Stand
241831,S1,S1-ADL1,Stand
243231,S1,S1-ADL1,Stand
244698,S1,S1-ADL1,Stand
245131,S1,S1-ADL1,Stand
245598,S1,S1-ADL1,Stand
248398,S1,S1-ADL1,Stand
248764,S1,S1-ADL1,Stand
249531,S1,S1-ADL1,Stand
249564,S1,S1-ADL1,Stand
255431,S1,S1-ADL1,Stand
256964,S1,S1-ADL1,Stand
257264,S1,S1-ADL1,Stand
261597,S1,S1-ADL1,Stand
267431,S1,S1-ADL1,Stand
268264,S1,S1-ADL1,Stand
271864,S1,S1-ADL1,Stand
273431,S1,S1-ADL1,Stand
273997,S1,S1-ADL1,Stand
276431,S1,S1-ADL1,Stand
276864,S1,S1-ADL1,Stand
277364,S1,S1-ADL1,Stand
280697,S1,S1-ADL1,Walk
282497,S1,S1-ADL1,Walk
287697,S1,S1-ADL1,Sit
288830,S1,S1-ADL1,Sit
289997,S1,S1-ADL1,Sit
290197,S1,S1-ADL1,Sit
290830,S1,S1-ADL1,Sit
291697,S1,S1-ADL1,Sit
292097,S1,S1-ADL1,Sit
295497,S1,S1-ADL1,Lie
299330,S1,S1-ADL1,Lie
299664,S1,S1-ADL1,Lie
300097,S1,S1-ADL1,Lie
304630,S1,S1-ADL1,Lie
307630,S1,S1-ADL1,Lie
308597,S1,S1-ADL1,Lie
308664,S1,S1-ADL1,Lie
310964,S1,S1-ADL1,Lie
311430,S1,S1-ADL1,Lie
313630,S1,S1-ADL1,Sit
315130,S1,S1-ADL1,Walk
318030,S1,S1-ADL1,Stand
318097,S1,S1-ADL1,Stand
322930,S1,S1-ADL1,Stand
327963,S1,S1-ADL1,Stand
329730,S1,S1-ADL1,Stand
330530,S1,S1-ADL1,Stand
333630,S1,S1-ADL1,Stand
335530,S1,S1-ADL1,Walk
336897,S1,S1-ADL1,Walk
337263,S1,S1-ADL1,Walk
337797,S1,S1-ADL1,Walk
341930,S1,S1-ADL1,Stand
348163,S1,S1-ADL1,Walk
350230,S1,S1-ADL1,Walk
351663,S1,S1-ADL1,Walk
353230,S1,S1-ADL1,Stand
353763,S1,S1-ADL1,Stand
354496,S1,S1-ADL1,Stand
358630,S1,S1-ADL1,Stand
361896,S1,S1-ADL1,Stand
362163,S1,S1-ADL1,Stand
364163,S1,S1-ADL1,Stand
368363,S1,S1-ADL1,Stand
369863,S1,S1-ADL1,Stand
376896,S1,S1-ADL1,Walk
380296,S1,S1-ADL1,Sit
380363,S1,S1-ADL1,Sit
384896,S1,S1-ADL1,Stand
388329,S1,S1-ADL1,Walk
392163,S1,S1-ADL1,Stand
392896,S1,S1-ADL1,Stand
393129,S1,S1-ADL1,Stand
393963,S1,S1-ADL1,Stand
395529,S1,S1-ADL1,Stand
398829,S1,S1-ADL1,Walk
399929,S1,S1-ADL1,Walk
400096,S1,S1-ADL1,Walk
400963,S1,S1-ADL1,Walk
401229,S1,S1-ADL1,Walk
405729,S1,S1-ADL1,Stand
410929,S1,S1-ADL1,Stand
411296,S1,S1-ADL1,Stand
412363,S1,S1-ADL1,Stand
412629,S1,S1-ADL1,Stand
412963,S1,S1-ADL1,Stand
419429,S1,S1-ADL1,Stand
420062,S1,S1-ADL1,Stand
423529,S1,S1-ADL1,Walk
425062,S1,S1-ADL1,Walk
428396,S1,S1-ADL1,Walk
430329,S1,S1-ADL1,Walk
438496,S1,S1-ADL1,Sit
440029,S1,S1-ADL1,Sit
440296,S1,S1-ADL1,Sit
440496,S1,S1-ADL1,Sit
441729,S1,S1-ADL1,Stand
444696,S1,S1-ADL1,Stand
445129,S1,S1-ADL1,Stand
449762,S1,S1-ADL1,Walk
450629,S1,S1-ADL1,Walk
453029,S1,S1-ADL1,Walk
453195,S1,S1-ADL1,Walk
454329,S1,S1-ADL1,Walk
456895,S1,S1-ADL1,Walk
458162,S1,S1-ADL1,Walk
